,0
1P_RCS,-0.03863695938250057
1M_RCS,-0.031537995959965794
2P_RCS,-0.654279866951729
2M_RCS,-0.836672129577755
3P_RCS,-0.349437252639654
3M_RCS,0.44362858203353434
4P_RCS,-0.29638909273756947
4M_RCS,0.003293222862229455
5P_RCS,-0.41392857597548627
5M_RCS,0.21245386928427504
6P_RCS,0.03748766392954561
6M_RCS,0.4893737979331339
7P_RCS,-0.6050663901885142
7M_RCS,0.7886652366914875
6P_Pitt,1.012567077419542
6M_Pitt,0.29461464592868297
7P_Pitt,-0.5259871426284947
7M_Pitt,-0.8191393669562365
12P_Pitt,0.02186638399581236
12M_Pitt,0.20270973198848202
17P_Pitt,0.20565409335396054
17M_Pitt,-0.5519382186944807
19-2P_Pitt,-0.4520933401967901
19-2M_Pitt,-0.060279653072721304
25P_Pitt,0.44173787748923327
25M_Pitt,0.720439153047635
29P_Pitt,-0.7924290437786761
29M_Pitt,0.009055860851825113
47P_Pitt,-0.12165890647590273
47M_Pitt,0.2256586201963442
51P_Pitt,-0.2230048973875715
51M_Pitt,0.7877988252786258
52P_Pitt,-0.3878299702545024
52M_Pitt,0.18793663084852183
62P_Pitt,-0.10529582589450293
62M_Pitt,-0.46016630696049876
64P_Pitt,1.0187212692746228
64M_Pitt,-0.042229163029021306
68P_Pitt,0.11823176038240242
68M_Pitt,-0.11131413233481127
71P_Pitt,0.20393945048253254
71M_Pitt,1.000486483352255
72P_Pitt,-0.21912900400686433
72M_Pitt,-0.3278770015404357
